time, x, y, h
14.40, -2.68,  25.95,  1.00
14.50, -3.19,  25.95,  1.00
14.60, -3.69,  25.95,  1.00
14.70, -4.20,  25.95,  1.00
14.81, -4.72,  25.95,  1.00
14.91, -5.24,  25.95,  1.00
15.01, -5.74,  25.95,  1.00
15.11, -6.24,  25.95,  1.00
15.22, -6.80,  25.95,  1.00
15.32, -7.31,  25.95,  1.00
15.43, -7.82,  25.95,  1.00
15.53, -8.33,  25.95,  1.00
15.63, -8.83,  25.95,  1.00
15.73, -9.37,  25.95,  1.00
15.84, -9.87,  25.95,  1.00
15.94, -10.38,  25.95,  1.00
16.04, -10.38,  25.95,  0.90
16.14, -10.38,  25.95,  0.80
16.24, -10.38,  25.95,  0.70
16.35, -10.38,  25.95,  0.59
16.45, -10.38,  25.95,  0.49
16.55, -10.38,  25.95,  0.39
16.66, -10.38,  25.95,  0.29
16.76, -10.38,  25.95,  0.18
16.86, -10.38,  25.95,  0.08
16.96, -10.38,  25.95,  0.00
17.06, -10.38,  25.95,  0.00
17.16, -10.38,  25.95,  0.00
17.27, -10.38,  25.95,  0.00
17.37, -10.38,  25.95,  0.00
17.47, -10.38,  25.95,  0.00
17.57, -10.38,  25.95,  0.00
17.68, -10.38,  25.95,  0.00
17.78, -10.38,  25.95,  0.00
17.88, -10.38,  25.95,  0.00
17.98, -10.38,  25.95,  0.00
18.08, -10.38,  25.95,  0.00
18.19, -10.38,  25.95,  0.00
18.29, -10.38,  25.95,  0.00
18.39, -10.38,  25.95,  0.00
18.49, -10.38,  25.95,  0.00
18.60, -10.38,  25.95,  0.00
18.70, -10.38,  25.95,  0.00
18.80, -10.38,  25.95,  0.00
18.90, -10.38,  25.95,  0.00
19.00, -10.38,  25.95,  0.00
19.11, -10.38,  25.95,  0.00
19.21, -10.38,  25.95,  0.00
19.31, -10.38,  25.95,  0.00
19.41, -10.38,  25.95,  0.00
19.51, -10.38,  25.95,  0.00
19.61, -10.38,  25.95,  0.00
19.72, -10.38,  25.95,  0.00
19.82, -10.38,  25.95,  0.00
19.92, -10.38,  25.95,  0.00
20.02, -10.38,  25.95,  0.00
20.12, -10.38,  25.95,  0.00
20.23, -10.38,  25.95,  0.00
20.33, -10.38,  25.95,  0.00
20.43, -10.38,  25.95,  0.00
20.53, -10.38,  25.95,  0.00
20.63, -10.38,  25.95,  0.00
20.74, -10.38,  25.95,  0.00
20.84, -10.38,  25.95,  0.00
20.94, -10.38,  25.95,  0.00
21.04, -10.38,  25.95,  0.00
21.14, -10.38,  25.95,  0.00
21.24, -10.38,  25.95,  0.00
21.34, -10.38,  25.95,  0.00
21.44, -10.38,  25.95,  0.00
21.55, -10.38,  25.95,  0.00
21.65, -10.38,  25.95,  0.00
21.75, -10.38,  25.95,  0.00
21.85, -10.38,  25.95,  0.00
21.95, -10.38,  25.95,  0.00
22.05, -10.38,  25.95,  0.00
22.15, -10.38,  25.95,  0.00
22.26, -10.38,  25.95,  0.00
22.36, -10.38,  25.95,  0.00
22.46, -10.38,  25.95,  0.00
22.56, -10.38,  25.95,  0.00
22.67, -10.38,  25.95,  0.00
22.77, -10.38,  25.95,  0.00
22.87, -10.38,  25.95,  0.00
22.97, -10.38,  25.95,  0.00
23.07, -10.38,  25.95,  0.00
23.17, -10.38,  25.95,  0.00
23.27, -10.38,  25.95,  0.00
23.38, -10.38,  25.95,  0.00
23.48, -10.38,  25.95,  0.00
23.58, -10.38,  25.95,  0.00
23.68, -10.38,  25.95,  0.00
23.78, -10.38,  25.95,  0.00
23.88, -10.38,  25.95,  0.00
23.99, -10.38,  25.95,  0.00
24.09, -10.38,  25.95,  0.00
24.19, -10.38,  25.95,  0.00
24.29, -10.38,  25.95,  0.00
24.39, -10.38,  25.95,  0.00
24.49, -10.38,  25.95,  0.00
24.59, -10.38,  25.95,  0.00
24.70, -10.38,  25.95,  0.00
24.80, -10.38,  25.95,  0.00
24.90, -10.38,  25.95,  0.00
25.00, -10.38,  25.95,  0.00
25.10, -10.38,  25.95,  0.00
25.20, -10.38,  25.95,  0.00
25.31, -10.38,  25.95,  0.00
25.41, -10.38,  25.95,  0.00
25.51, -10.38,  25.95,  0.00
25.61, -10.38,  25.95,  0.00
25.72, -10.38,  25.95,  0.00
25.82, -10.38,  25.95,  0.00
25.92, -10.38,  25.95,  0.00
26.02, -10.38,  25.95,  0.00
26.12, -10.38,  25.95,  0.00
26.22, -10.38,  25.95,  0.00
26.33, -10.38,  25.95,  0.00
26.43, -10.38,  25.95,  0.00
26.53, -10.38,  25.95,  0.00
26.63, -10.38,  25.95,  0.00
26.73, -10.38,  25.95,  0.00
26.84, -10.38,  25.95,  0.00
26.94, -10.38,  25.95,  0.00
27.04, -10.38,  25.95,  0.00
27.14, -10.38,  25.95,  0.00
27.24, -10.38,  25.95,  0.00
27.34, -10.38,  25.95,  0.00
27.44, -10.38,  25.95,  0.00
27.54, -10.38,  25.95,  0.00
27.64, -10.38,  25.95,  0.00
27.75, -10.38,  25.95,  0.00
27.85, -10.38,  25.95,  0.00
27.95, -10.38,  25.95,  0.00
28.05, -10.38,  25.95,  0.00
28.15, -10.38,  25.95,  0.00
28.26, -10.38,  25.95,  0.00
28.36, -10.38,  25.95,  0.00
28.46, -10.38,  25.95,  0.00
28.56, -10.38,  25.95,  0.00
28.66, -10.38,  25.95,  0.00
28.76, -10.38,  25.95,  0.00
28.87, -10.38,  25.95,  0.00
28.97, -10.38,  25.95,  0.00
29.07, -10.38,  25.95,  0.00
29.17, -10.38,  25.95,  0.00
29.27, -10.38,  25.95,  0.00
29.38, -10.38,  25.95,  0.00
29.48, -10.38,  25.95,  0.00
29.58, -10.38,  25.95,  0.00
29.68, -10.38,  25.95,  0.00
29.78, -10.38,  25.95,  0.00
29.88, -10.38,  25.95,  0.00
29.99, -10.38,  25.95,  0.00
30.09, -10.38,  25.95,  0.00
30.19, -10.38,  25.95,  0.00
30.29, -10.38,  25.95,  0.00
30.39, -10.38,  25.95,  0.00
30.49, -10.38,  25.95,  0.00
30.59, -10.38,  25.95,  0.00
30.70, -10.38,  25.95,  0.00
30.80, -10.38,  25.95,  0.00
30.90, -10.38,  25.95,  0.00
31.00, -10.38,  25.95,  0.00
31.10, -10.38,  25.95,  0.00
31.21, -10.38,  25.95,  0.00
31.31, -10.38,  25.95,  0.00
31.41, -10.38,  25.95,  0.00
31.51, -10.38,  25.95,  0.00
31.61, -10.38,  25.95,  0.00
31.71, -10.38,  25.95,  0.00
31.81, -10.38,  25.95,  0.00
